2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #15 pc 002badf4  /data/app/~~TH9BaljvRUepBmB8kOqslg==/com.demo.mashiro-N3ALJlMmTxU-6ISd7XkR8A==/oat/arm/base.vdex (com.demo.nativecrash.MyCrashActivity.lambda$R490cHrwNCkpJ2I009WLZrUUYfo)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #16 pc 0023195f  /apex/com.android.art/lib/libart.so (art::interpreter::Execute(art::Thread*, art::CodeItemDataAccessor const&, art::ShadowFrame&, art::JValue, bool, bool) (.llvm.12496560826802137605)+250) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #17 pc 002383d7  /apex/com.android.art/lib/libart.so (art::interpreter::ArtInterpreterToInterpreterBridge(art::Thread*, art::CodeItemDataAccessor const&, art::ShadowFrame*, art::JValue*)+138) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #18 pc 00238b8f  /apex/com.android.art/lib/libart.so (bool art::interpreter::DoCall<false, false>(art::ArtMethod*, art::Thread*, art::ShadowFrame&, art::Instruction const*, unsigned short, art::JValue*)+722) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #19 pc 004ec6af  /apex/com.android.art/lib/libart.so (MterpInvokeStatic+478) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #20 pc 000ce794  /apex/com.android.art/lib/libart.so (mterp_op_invoke_static+20) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #21 pc 002bad88  /data/app/~~TH9BaljvRUepBmB8kOqslg==/com.demo.mashiro-N3ALJlMmTxU-6ISd7XkR8A==/oat/arm/base.vdex (com.demo.nativecrash.-$$Lambda$MyCrashActivity$R490cHrwNCkpJ2I009WLZrUUYfo.onClick+4)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #22 pc 0023195f  /apex/com.android.art/lib/libart.so (art::interpreter::Execute(art::Thread*, art::CodeItemDataAccessor const&, art::ShadowFrame&, art::JValue, bool, bool) (.llvm.12496560826802137605)+250) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #23 pc 00238313  /apex/com.android.art/lib/libart.so (art::interpreter::EnterInterpreterFromEntryPoint(art::Thread*, art::CodeItemDataAccessor const&, art::ShadowFrame*)+114) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #24 pc 004db2a9  /apex/com.android.art/lib/libart.so (artQuickToInterpreterBridge+684) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #25 pc 000d8761  /apex/com.android.art/lib/libart.so (art_quick_to_interpreter_bridge+32) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #26 pc 0078212f  /system/framework/arm/boot-framework.oat (android.view.View.performClick+134) (BuildId: 7a5ecd1dd99a56ddc06110ee7f8a35569e7c6a2d)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #27 pc 006b5ce5  /system/framework/arm/boot-framework.oat (android.view.View$PerformClick.run+140) (BuildId: 7a5ecd1dd99a56ddc06110ee7f8a35569e7c6a2d)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #28 pc 0054c739  /system/framework/arm/boot-framework.oat (android.os.Handler.dispatchMessage+64) (BuildId: 7a5ecd1dd99a56ddc06110ee7f8a35569e7c6a2d)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #29 pc 0054f267  /system/framework/arm/boot-framework.oat (android.os.Looper.loop+1446) (BuildId: 7a5ecd1dd99a56ddc06110ee7f8a35569e7c6a2d)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #30 pc 0038c151  /system/framework/arm/boot-framework.oat (android.app.ActivityThread.main+760) (BuildId: 7a5ecd1dd99a56ddc06110ee7f8a35569e7c6a2d)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #31 pc 000d3bd5  /apex/com.android.art/lib/libart.so (art_quick_invoke_stub_internal+68) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #32 pc 004f86a1  /apex/com.android.art/lib/libart.so (art_quick_invoke_static_stub+276) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #33 pc 0012c2b1  /apex/com.android.art/lib/libart.so (art::ArtMethod::Invoke(art::Thread*, unsigned int*, unsigned int, art::JValue*, char const*)+160) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #34 pc 00404941  /apex/com.android.art/lib/libart.so (art::InvokeMethod(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, _jobject*, _jobject*, unsigned int)+820) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #35 pc 003a409b  /apex/com.android.art/lib/libart.so (art::Method_invoke(_JNIEnv*, _jobject*, _jobject*, _jobjectArray*)+30) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #36 pc 0008263f  /apex/com.android.art/javalib/arm/boot.oat (art_jni_trampoline+110) (BuildId: fc406838c6801bda5139b5c876b7cc5740aae482)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #37 pc 00716ca1  /system/framework/arm/boot-framework.oat (com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run+112) (BuildId: 7a5ecd1dd99a56ddc06110ee7f8a35569e7c6a2d)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #38 pc 0071dbc7  /system/framework/arm/boot-framework.oat (com.android.internal.os.ZygoteInit.main+1950) (BuildId: 7a5ecd1dd99a56ddc06110ee7f8a35569e7c6a2d)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #39 pc 000d3bd5  /apex/com.android.art/lib/libart.so (art_quick_invoke_stub_internal+68) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #40 pc 004f86a1  /apex/com.android.art/lib/libart.so (art_quick_invoke_static_stub+276) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #41 pc 0012c2b1  /apex/com.android.art/lib/libart.so (art::ArtMethod::Invoke(art::Thread*, unsigned int*, unsigned int, art::JValue*, char const*)+160) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #42 pc 00403af5  /apex/com.android.art/lib/libart.so (art::JValue art::InvokeWithVarArgs<art::ArtMethod*>(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, art::ArtMethod*, std::__va_list)+348) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #43 pc 00403da7  /apex/com.android.art/lib/libart.so (art::JValue art::InvokeWithVarArgs<_jmethodID*>(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, _jmethodID*, std::__va_list)+42) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #44 pc 0032a45b  /apex/com.android.art/lib/libart.so (art::JNI<true>::CallStaticVoidMethodV(_JNIEnv*, _jclass*, _jmethodID*, std::__va_list)+530) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #45 pc 000693fd  /system/lib/libandroid_runtime.so (_JNIEnv::CallStaticVoidMethod(_jclass*, _jmethodID*, ...)+28) (BuildId: b3310e343f9e1efffa369d4f61c356c3)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #46 pc 0006f7d7  /system/lib/libandroid_runtime.so (android::AndroidRuntime::start(char const*, android::Vector<android::String8> const&, bool)+554) (BuildId: b3310e343f9e1efffa369d4f61c356c3)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #47 pc 00002fe1  /system/bin/app_process32 (main+1180) (BuildId: 45964d05e4d75566011223edb5dc74fe)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #48 pc 0005cf23  /apex/com.android.runtime/lib/bionic/libc.so (__libc_init+66) (BuildId: edc23b5a08cb25fcac190e6392a4d537)
